359 0	0 1 2 3 4 5 6 7
1	8 9
0 2	10
3 4	11 12 8 13 14
5	15 16 17 18
6	19 20 8 21
7 8	22
9 10 11 0	23 15 24 9 25 14 26 27 28 29 30 31 7
12	23 32 33 34 35 36 28 29 37
8	38
13	15 39 40 41 42
14	12 43 44 41 38 27 45 46
15	47
16	15 8 25 27 48 49 45 50
17	51 52 15 53 10
16	54 55 15 39 56 57 41 25 58 59 60 48 49 45 61 50
18 19 20 21	62 15 16 63 35 64 65 66 18
8	32 16 67 68
22	60
23 14	32 15 24 69 2 38 70 71 46
24	23 72 15 73 67 74 2 75 25 76 77 78 61
14	51 79 15 80 81 82 27 83 84 85 86 87
25 26	88
27 28 29 30	52
31	0 54 15 16 89 25 64
32	90 91 92 25 93 35 26 94
0	95 15 96
359	54 97 16 39 98 27
33	99 51 15 100 101 89 26 10 102 71
34	23 11 103 8 104 41 105 106 26 36 107 18
35	108 109 110 83 111
36 37	23 67 112 27 113 114 111 115
38 11 20	12 15 88 46
39 23	33
40	116 117 15 118 119 120 75 41 121 83 78
0	24 69 67 122 77 86 17
41 27	73 123
27 5 19 21	124 95 125 126 127 128 129 60 130 48 131 132 37 50
42	23 27 133 76 134 135
43 44 20	11 24 9 118 91 136 41 137 138 139 66 18
45 16	0 103 54 15 8 67 80 2 3 4 38 5 6
46	140 127 88 60
23	141 54 142 143 59 17 61
1	144 73 145
41	146
47 6 33 0	15 100 24 80 147 28 30 102 37
6 15	15 16
359	148 149 150
48	0 151 15 101 152 2 153 154 5 6 155 46
49	23 105 59 26 27 146 18
50	15 156 16 67 41 30
51 0	144 96 60 131
0	15 80 4 157 86
52	127 60 158
36 51 53	15 126 159 58 160 27 77 60 48 131 17
14 4	161 162 119 163 16 89 81 120 75 41 77 60 78 17 164
54 55	32 116 24 9 136 57 68 41 27 45 18
56 14 0	116 165 95 96 27 83 85
359	23 54 39 2 166 6 46
14 57	24 84 85
58	69
0	95 39 40 48 85
12	0 167 32 73 168 169 16 170 39 171 40 172 33 173 153 36 174 175 60 130 176
41 58 14 359	177 23 47 44 120 25 59 29 48 49
8	178
52	149 109 16 91 98 27
16	15 8 76 179 45
5	180 32 101 16 181 78 17
58	16 67 88 76
9 42	109 106 182 27 83
42	23 183 120 27 133 76 29 113 114 78 115
34	23 109 184 185 41 105 106
49	99 186 143 187 28
5	108 73 16 60
359	15 8 26 45 46
59	75 188
60 28	116 15 53 189 68 38
15 61 359 0	180 190 103 54 162 100 8 9 90 16 67 40 120 33 191 186 173 192 193 194 195 129 181 94 102 37 17 87
62 63 50	180 67 181 10 49
22	165 16 89 33 153 83
64 0	15 8 196 75 41 59 60 130 50
59	197 2 198 85 17 87
56 52	54 1 165 199 73 96 169 39 200 40 88 153 83 42 60 48 94
65 13 2	67 201 66
359 66	202 151 16 150 68 203 204 61 87
0	205
67	16 67 91 112 120 111 94 17
68	11 51 15 118 38 76 30 71
69	124 144 206 60 130
70 359	15 46
40	116 197 207 24 208 156 150 2 27 155 135
5 0	51
71 15 72	209
41	15 8 16 57 210 41 211 27 48 10 78
54 0	116 15 90 89 80 68 212 41 27
73	213 131 214
59	15 119 81 84 78
53	90 56 215 25 42 48 94 37 50 46
74 54 47 6 75 10 48 76 77 0	0 161 15 142 101 89 85 37
67 6 10	116 73 118 119 216 16 39 120 186 27 83 48 111 7 37 78
78	36
49	0 99
79 80	217 218 27 30 135
3 23 16 359 4	219 8 101 89
